EncuestaHogar_id,DEPARTAMENTO,Estrato,IdTamanoHogar,TamanoHogar,Personas,PersonasMenor4,PersonasDesde4,Autos,Motos,Otros,Vehiculos,EspaciosEstacionamiento,AutoECH,MotoECH,ZonaIMM,Ponderacion
8005,1,1,4,5 o mas Personas,6,0,6,0,1,1,2,1,1,1,Oeste,274.3438753206
8006,1,2,1,1 Persona,1,0,1,0,0,0,0,2,2,2,Este,226.4725752206
8007,1,2,2,2 Personas,2,0,2,0,1,0,1,2,2,2,Este,192.312128945
8008,1,2,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Este,174.5991697001
8013,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,141.7036739595
8014,1,1,3,3 o 4 Personas,4,0,4,0,0,0,0,1,2,2,Oeste,604.395565029
8015,1,1,4,5 o mas Personas,6,0,6,0,1,0,1,0,2,2,Este,290.7448678669
8016,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,121.4602919653
8018,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,107.2187003948
8019,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,220.146779187
8020,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Oeste,955.5078299886
8021,1,2,3,3 o 4 Personas,4,0,4,0,1,0,1,1,2,2,Oeste,344.8757114704
8034,1,1,3,3 o 4 Personas,3,0,3,1,0,0,1,1,1,2,Este,208.1304184134
8086,1,4,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Centro,280.8332278168
8032,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,1138.6902371744
8033,1,2,2,2 Personas,2,0,2,1,0,0,1,2,1,2,Este,690.8054105525
8037,1,2,3,3 o 4 Personas,4,0,4,1,0,0,1,1,1,2,Centro,1024.4837311327
8038,1,1,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Este,302.7351540558
8040,1,3,2,2 Personas,2,0,2,2,0,0,2,2,1,2,Este,127.4056332028
8041,1,2,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Centro,261.7016424772
8043,1,3,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,422.2586700437
8054,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,528.4360088481
8055,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,343.3466921691
8056,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,516.9028547086
8072,1,2,4,5 o mas Personas,8,1,7,0,1,0,1,1,2,1,Este,456.5635206308
8088,3,10,4,5 o mas Personas,5,0,5,1,1,0,2,1,2,1,,1190.3645689749
8089,3,5,4,5 o mas Personas,5,0,5,0,0,0,0,1,2,2,,187.9523003645
8090,16,48,3,3 o 4 Personas,4,0,4,0,0,1,1,0,1,2,,379.2426890388
8091,1,4,1,1 Persona,1,0,1,1,0,0,1,1,2,2,Este,133.4101778669
8092,1,4,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Este,111.0270900671
7915,1,1,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Oeste,2986.4251448493
